column,block,test_time_source
ensembl_gene_id,id,identifier (available at test time)
efo_id,id,identifier (available at test time)
gene_symbol,id,identifier (available at test time)
label_consensus,label,CANONICAL training target: 1=clinically validated / 0=efficacy-failure-or-broad-negative (1570/5273)
label_consensus_v2,label,"ALT: cleaned twin of label_consensus (1570/5267, 6 NaN dropped)"
label_efficacy_gold,label,"ALT: gold efficacy-adjudicated subset only (565 pos / 96 neg / 6182 NaN) — tier-1, confidence 0.95"
label_tier,label,label evidence tier 1=gold efficacy .. 4=broad negative
label_confidence,label,per-pair label confidence weight
fold_seqclust,fold,"FROZEN 5-fold: genes clustered by DIAMOND homology >=50% identity (union-find), whole clusters assigned to folds — homolog-safe, 0% cross-fold homology bridging. PRIMARY deployment split."
fold_gene,fold,"FROZEN 5-fold: random gene assignment (seed 0), gene-disjoint but NOT homolog-safe"
fold_disease,fold,FROZEN 5-fold: random disease assignment (seed 0); combine with fold_gene for both-axes-disjoint (test=gene_fold==k AND disease_fold==k)
protein_length,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
protein_mass,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
is_membrane,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
has_signal_peptide,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
pI,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gravy,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
instability,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
n_transmembrane,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
is_surface_or_secreted,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
ipr_n_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
ipr_n_domain,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_g_protein-coupled_receptor_rhodopsin-lik,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_5-hydroxytryptamine_receptor_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_adrenoceptor_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_ionotropic_glutamate_receptor_metazoa,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_ionotropic_glutamate_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_peptidase_s1a_chymotrypsin_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_gamma-aminobutyric_acid_a_receptor/glyci,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_dopamine_receptor_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_serine/threonine_kinases_and_pseudokinas,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_receptor_tyrosine_kinase,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_carbonic_anhydrase_alpha-class,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_somatostatin_receptor_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_nuclear_hormone_receptor_family_nr3_subf,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_platelet-derived/vascular_endothelial_gr,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_nicotinic_acetylcholine_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_opioid_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_sodium:neurotransmitter_symporter,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_adenosine_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_muscarinic_acetylcholine_receptor_family,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_vasopressin_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_integrin_alpha_chain,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_nuclear_hormone_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_sphingosine_1-phosphate_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_gpcr_family_3_metabotropic_glutamate_rec,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_gpcr_family_3,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_metabotropic_glutamate_receptor,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_mitogen-activated_protein_(map)_kinase_k,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
iprfam_gamma-aminobutyric-acid_a_receptor_alpha,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
ipr_has_kinase,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
ipr_has_gpcr,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
seq_len,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aromaticity,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
helix,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
turn,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
sheet,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_A,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_C,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_D,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_E,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_F,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_G,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_H,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_I,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_K,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_L,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_M,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_N,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_P,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_Q,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_R,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_S,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_T,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_V,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_W,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
aa_Y,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
seq_mass,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
penetrance_valid,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
lof_oe,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
lof_score,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
mis_score,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
hpa_log_brain_ntpm,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
hpa_brain_expressed,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
hpa_detected_all,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gnomad_oe_lof,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gnomad_oe_lof_upper,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gnomad_oe_mis,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gnomad_lof_z,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gnomad_lof_pLI,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gnomad_lof_constrained,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gtex_brain_mean_tpm,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gtex_brain_max_tpm,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gtex_brain_expressed,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
gtex_brain_specificity,intrinsic_84,gene-ID lookup or sequence-derived (AA/biophysics/InterPro/gnomAD/GTEx/HPA)
emb_esmc6b_0,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_1,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_2,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_3,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_4,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_5,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_6,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_7,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_8,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_9,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_10,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_11,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_12,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_13,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_14,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_15,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_16,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_17,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_18,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_19,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_20,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_21,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_22,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_23,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_24,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_25,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_26,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_27,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_28,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_29,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_30,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_31,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_32,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_33,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_34,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_35,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_36,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_37,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_38,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_39,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_40,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_41,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_42,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_43,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_44,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_45,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_46,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_47,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_48,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_49,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_50,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_51,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_52,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_53,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_54,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_55,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_56,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_57,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_58,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_59,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_60,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_61,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_62,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_63,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_64,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_65,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_66,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_67,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
emb_esmc6b_68,esmc6b,ESMC-6B forward pass on UniProt sequence (layer 64 mean-pool)
