study,task,metric,value,split,features,source_verification,comparability_to_ours
OUR CLEAN BASELINE,novel target+disease → clinical validation (CNS),ROC-AUC,0.700,gene AND disease held out,84 genome-intrinsic (no ligand/PPI/study),this work (computed),—
Ferrero 2017 (J Transl Med),target → therapeutic (any disease),ROC-AUC,0.76,random test split,OT association evidence,"verified_fulltext (PDF p.? : 'AUC of 0.76, >71% accuracy')",optimistic: assoc features we exclude; no grouping
Han 2022 (BMC Bioinf) — OT score alone,target-disease → known drug indication,AUROC,0.808,"5-fold CV, validation set",OT association evidence ONLY (XGB),verified_fulltext (Table 2: 0.8076±0.034),their association-only arm ~ matches our inflated assoc runs
Han 2022 (BMC Bioinf) — +computed features,target-disease → known drug indication,AUROC,0.914,"5-fold CV, validation set",OT assoc + GTEx + GO-sim + PPI-embeddings (XGB),verified_fulltext (Table 2: 0.9137±0.014),"optimistic vs ours: PPI/GO features + random-ish split, no gene/disease grouping"
"Han 2022 — same, PR-AUC",target-disease → known drug indication,AUPR,0.73,"5-fold CV, validation set",+computed features (XGB),verified_fulltext (Table 2: 0.7264±0.046),class-imbalanced positives 7382/46290
Lo 2019 (Harvard Data Sci Rev),phase 2→approval (trial-level),ROC-AUC,0.78 / 0.81,5-yr rolling windows (walk-forward),trial outcomes/status/accrual/sponsor,"verified_abstract (Lo 2019 HDSR: 0.78 ph2→appr, 0.81 ph3→appr; key feats=trial outcomes/status/accrual/sponsor)",NOT comparable: trial-level survivorship features
OTRec 2025 — OT score baseline,disease-target → future clinical entry,ROC-AUC,0.559,TEMPORAL hold-out (2022→2025),retrospective OT association score alone,verified_fulltext (abstract+results),DIRECT: the honest prospective floor — we beat it (0.700>0.559)
OTRec 2025 — deep model,disease-target → future clinical entry,ROC-AUC,0.863,TEMPORAL hold-out (2022→2025),text+ontology+GO+tractability+pathway (2-tower),verified_fulltext (results Fig1C 0.863; abstract 0.865/0.872),DIRECT-ish: richer features + temporal; target not fully disjoint
OTRec 2025 — deep model,disease-target → clinical,ROC-AUC,0.950,5x5 target-disjoint CV,text+ontology+GO+tractability,verified_fulltext (abstract: 0.950 vs OT-score 0.91),optimistic vs ours: disease NOT held out (only target disjoint)
Minikel 2024 (Nature),genetic support → approval,relative success 2.6x,~0.55–0.60 equiv,cohort odds ratio,human genetic evidence (single signal),verified_fulltext (abstract: 2.6x),DIRECT: our constraint features alone match
