column,values,role,definition
label_consensus,"binary (1=1570, 0=5273)",PREDICTION TARGET,The model's target. Binary verdict on a target-indication pair: 1 = clinically validated (a drug against the target reached approval or showed convincing efficacy for the indication); 0 = failed or stalled. Assembled by weighted consensus across multiple independent evidence channels rather than any single database. Reflects the harsh CNS base rate (23% positive).
label_consensus_v2,"binary (1=1570, 0=5267, na=6)",PREDICTION TARGET (trained),Cleaned rebuild of label_consensus: six pairs with genuinely ambiguous evidence set null instead of forced to 0. This is the version actually trained on; otherwise identical.
label_source,categorical (5),LABEL METADATA,"Provenance of each label — which evidence channel was decisive: gold_efficacy (661, hand-adjudicated from trial results), phase_advancement (2585), ctgov_efficacy_futility (1313, trial stopped for futility), pipeline_dropout (1650, vanished from pipeline), ctgov_safety (408). Makes every label auditable to its origin."
label_confidence,float 0.25-0.95,LABEL METADATA,"Trust weight for each pair's label: hand-adjudicated gold=0.95, phase-advancement=0.75, weaker proxy signals lower. Used to weight/filter during modelling; never predicted."
label_tier,ordinal 1-4,LABEL METADATA,"Label QUALITY tier (not outcome). Tier 1 (661) highest-confidence clean set; tiers 2-4 progressively relax the evidence bar to weakest proxy labels (1838 at tier 4). A filtering axis, not a prediction target."
label_efficacy_gold,"binary (1=565, 0=96, na=6182)",ALTERNATIVE TARGET (efficacy),"Strictest, cleanest outcome; a harder and different question than label_consensus. Defined only for 661 pairs where trial evidence could be hand-adjudicated for whether the drug actually WORKED. Isolates efficacy specifically. Behind the project's core scientific estimand (sections 1-8)."
label_advancement,"binary (1=1726, 0=1624)",ALTERNATIVE TARGET (progression),"Coarse progression signal: did the program advance a development phase or stall? Weaker than an efficacy verdict (advancing is a proxy for success), but available for pairs lacking a clean efficacy read."
max_phase_reached,ordinal -1..4,ALTERNATIVE TARGET (graded),"How far the program got on the clinical scale (-1 preclinical, 1=Phase 1 ... 4=approved). The regression/ordinal framing; carries cost-gradient information (a Phase 3 failure is far costlier than Phase 1). Response variable in the earlier multi-head modelling. Monotone with validation (validated median 4, failed median 2)."
fail_efficacy,"binary (1=1796, 0=5047)",ALTERNATIVE TARGET (failure mode),"Failure-MODE head: among failures, did it fail because the drug did not work (efficacy/futility)? The dominant CNS failure mode. Nearly mutually exclusive with fail_safety (only 25 pairs both)."
fail_safety,"binary (1=424, 0=6419)",ALTERNATIVE TARGET (failure mode),Failure-MODE head: did it fail on safety/toxicity? The minority CNS failure mode (399 safety-only vs 1771 efficacy-only). Complements fail_efficacy to predict not just whether but HOW a program fails.
late_efficacy_failure,binary (1=603),ALTERNATIVE TARGET (cost),Most financially consequential outcome: an efficacy failure at late stage (Phase 2b/3) after major investment. A clean subset of fail_efficacy (0 pairs outside it). Supports the fail-fast/fail-cheap framing.
ctgov_reason,"categorical (efficacy_futility=1400, safety=424)",SOURCE (traceability),"Parsed stop-reason text from ClinicalTrials.gov terminated trials, collapsed to two categories. Raw source from which fail_efficacy/fail_safety were derived; retained for traceability."
